Información de la simulación
Dmax;Tmax;Vo;Ángulo
15.01 m;2.4 s;7.21 m/s;30 °
13.64 m;2.06 s;7.31 m/s;25 °
15.83 m;2.72 s;7.11 m/s;35 °
12.41 m;1.74 s;7.61 m/s;20 °
